roomNum,seatNum,type,reservable,left,top,isVertical,isDouble,info
513,1,0,0,40,0,0,0,
513,2,0,0,120,0,0,0,
513,3,0,0,200,0,0,0,
513,4,0,0,280,0,0,0,
513,5,0,0,360,0,0,0,
513,6,0,0,440,0,0,0,
513,7,0,0,520,0,0,0,
513,8,0,0,600,0,0,0,
513,9,0,0,40,120,0,0,
513,10,0,0,120,120,0,0,
513,11,0,0,200,120,0,0,
513,12,0,0,280,120,0,0,
513,13,0,0,360,120,0,0,
513,14,0,0,440,120,0,0,
513,15,0,0,520,120,0,0,
513,16,0,0,600,120,0,0,
513,17,0,0,40,180,0,0,
513,18,0,0,120,180,0,0,
513,19,0,0,200,180,0,0,
513,20,0,0,280,180,0,0,
513,21,0,0,360,180,0,0,
513,22,0,0,440,180,0,0,
513,23,0,0,520,180,0,0,
513,24,0,0,600,180,0,0,
513,25,0,0,40,300,0,0,
513,26,0,0,120,300,0,0,
513,27,0,0,200,300,0,0,
513,28,0,0,280,300,0,0,
513,29,0,0,360,300,0,0,
513,30,0,0,440,300,0,0,
513,31,0,0,520,300,0,0,
513,32,0,0,600,300,0,0,
513,33,0,0,40,360,0,0,
513,34,0,0,120,360,0,0,
513,35,0,0,200,360,0,0,
513,36,0,0,280,360,0,0,
513,37,0,0,360,360,0,0,
513,38,0,0,440,360,0,0,
513,39,0,0,520,360,0,0,
513,40,0,0,600,360,0,0,
